Heading,316
Windspeed,8.4
WindAngle,349
Heading,316
CoG,338
SoG,1.7
Windspeed,8.4
WindAngle,349
Heading,316
Windspeed,8.4
WindAngle,349
Heading,316
CoG,337
SoG,1.7
Heading,315
Depth,11.8
DepthOffset,-0.001
Windspeed,8.4
WindAngle,349
SpeedThroughWater,1.5
SoG,1273.9
Log,3971.30
Heading,315
Windspeed,8.4
WindAngle,349
CoG,337
SoG,1.7
Heading,315
Windspeed,8.4
WindAngle,349
Heading,315
Windspeed,8.4
WindAngle,349
CoG,337
SoG,1.7
Heading,314
Windspeed,8.4
WindAngle,349
Heading,314
Windspeed,8.4
WindAngle,349
CoG,337
SoG,1.7
Heading,314
Windspeed,8.4
WindAngle,349
Latitude,43.9436310
Longitude,15.4286489
Heading,314
Windspeed,8.4
WindAngle,349
CoG,337
SoG,1.7
Heading,313
Windspeed,8.4
WindAngle,349
Heading,313
Windspeed,8.4
WindAngle,349
CoG,337
SoG,1.7
Heading,313
Depth,11.8
DepthOffset,-0.001
Windspeed,8.4
WindAngle,349
SpeedThroughWater,1.5
SoG,1273.9
Log,3971.30
Latitude,43.9436326
Longitude,15.4286465
Heading,313
Windspeed,8.4
WindAngle,349
CoG,336
SoG,1.7
Heading,313
Windspeed,8.4
WindAngle,349
Heading,312
Windspeed,8.4
WindAngle,349
CoG,335
SoG,1.7
Heading,312
Windspeed,8.4
WindAngle,352
Heading,312
Windspeed,8.4
WindAngle,352
CoG,335
SoG,1.7
Heading,312
Windspeed,8.4
WindAngle,352
Latitude,43.9436375
Longitude,15.4286439
Heading,311
Windspeed,8.4
WindAngle,352
CoG,335
SoG,1.7
Latitude,43.9436375
Longitude,15.4286439
Heading,311
Windspeed,8.4
WindAngle,352
Heading,311
Windspeed,8.4
WindAngle,352
CoG,335
SoG,1.7
Heading,311
Depth,12.0
DepthOffset,-0.001
Windspeed,8.4
WindAngle,352
SpeedThroughWater,1.5
SoG,1273.9
Log,3971.30
Heading,310
Windspeed,8.4
WindAngle,352
CoG,335
SoG,1.7
Heading,310
Windspeed,8.4
WindAngle,352
Heading,310
Windspeed,8.4
WindAngle,352
CoG,335
SoG,1.7
Heading,310
Windspeed,8.5
WindAngle,357
Heading,309
Windspeed,8.5
WindAngle,357
CoG,335
SoG,1.7
Latitude,43.9436421
Longitude,15.4286419
Heading,309
Windspeed,8.5
WindAngle,357
Latitude,43.9436440
Longitude,15.4286408
Heading,309
Windspeed,8.5
WindAngle,357
CoG,335
SoG,1.7
Heading,309
Windspeed,8.5
WindAngle,357
Latitude,43.9436451
Longitude,15.4286398
Heading,308
Windspeed,8.5
WindAngle,357
CoG,335
SoG,1.7
Heading,308
Depth,11.9
DepthOffset,-0.001
Windspeed,8.5
WindAngle,357
SpeedThroughWater,1.3
SoG,1273.9
Log,3971.30
Latitude,43.9436464
Longitude,15.4286391
Heading,308
Windspeed,8.5
WindAngle,357
CoG,334
SoG,1.7
Heading,308
Windspeed,8.5
WindAngle,357
Heading,307
Windspeed,8.5
WindAngle,357
CoG,334
SoG,1.7
Latitude,43.9436476
Longitude,15.4286387
Heading,307
Windspeed,8.3
WindAngle,359
Latitude,43.9436486
Longitude,15.4286379
Heading,307
Windspeed,8.3
WindAngle,359
CoG,334
SoG,1.7
Heading,307
Windspeed,8.3
WindAngle,359
Heading,306
Windspeed,8.3
WindAngle,359
CoG,333
SoG,1.7
Heading,306
Windspeed,8.3
WindAngle,359
Latitude,43.9436510
Longitude,15.4286366
Heading,306
Windspeed,8.3
WindAngle,359
CoG,333
SoG,1.7
Heading,306
Depth,11.8
DepthOffset,-0.001
Windspeed,8.3
WindAngle,359
SpeedThroughWater,1.3
SoG,1273.9
Log,3971.30
Heading,305
